feature,python_max_score
JAML1,0.0
JAG2,0.0
ILT.4,0.0
Cardiotrophin.1,0.0
YES,0.0
UBC9,0.0
HAI.1,0.0
BCAM,0.0
ART,0.0
Angiopoietin.1,0.0
ADAMTS.4,0.0
ACE2,0.0
SLAF6,0.0
SIG14,0.0
sICAM.5,0.0
Semaphorin.6A,0.0
SEM6B,0.0
ROBO3,0.0
Prolactin.Receptor,0.0
NRX1B,0.0
Nr.CAM,0.0
Notch.3,0.0
MCP.2,0.0
IL.22,0.0
IL.16,0.0
IL.10,0.0
I.309,0.0
GCKR,0.0
PPID,0.0
PDE9A,0.0
NMT1,0.0
AMPK.a1b1g1,0.0
PDE7A,0.0
UNC5H3,0.0
TIMD3,0.0
TAJ,0.0
Kallikrein.4,0.0
Kallikrein.11,0.0
Azurocidin,0.0
ULBP.3,0.0
TSLP.R,0.0
DRAK2,0.0
AMPK.a2b2g1,0.0
JNK2,0.0
PPIE,0.0
NR1D1,0.0
HMGR,0.0
IMDH1,0.0
KIF23,0.0
PDK1,0.0
Fibrinogen,0.0
SOD,0.0
NAP.2,0.0
MMP.7,0.0
NovH,0.0
NANOG,0.0
IL.1F7,0.0
TNFSF18,0.0
VAV,0.0
SHC1,0.0
RAC3,0.0
GRB2.related.adapter.protein.2,0.0
BCAR3,0.0
TAK1.TAB1,0.0
PDE5A,0.0
PDE3A,0.0
Hemopexin,0.0
GDF.11.8,0.0
FGF9,0.0
FGF.18,0.0
TACI,0.0
Persephin,0.0
PECAM.1,0.0
OSM,0.0
NPS.PLA2,0.0
MIA,0.0
HSP.60,0.0
DLL1,0.0
Cyclin.B1,0.0
CPNE1,0.0
CBPE,0.0
B7.2,0.0
EGFRvIII,0.0
Elastase,0.0
IgG,0.0
Sonic.Hedgehog,0.0
Rab.GDP.dissociation.inhibitor.beta,0.0
PKC.Z,0.0
PKC.A,0.0
PAFAH.beta.subunit,0.0
MSP.R,0.0
sLeptin.R,0.0
Fas..soluble,0.0
BAFF.Receptor,0.0
PKB.beta,0.0
OMD,0.0
NLGNX,0.0
MIF,0.0
LIGHT,0.0
Keratin.18,0.0
hnRNP.A2.B1,0.0
TECK,0.0
HSP.90a.b,0.0
HPV.E7.Type18,0.0
HO.2,0.0
ERBB3,0.0
ERBB2,0.0
DEAD.box.protein.19B,0.0
CNDP1,0.0
ANP,0.0
DR6,0.0
CK.MM,0.0
Calpain.I,0.0
Bone.proteoglycan.II,0.0
TrkC,0.0
TNF.sR.I,0.0
suPAR,0.0
sICAM.3,0.0
CD30,0.0
X4.1BB.ligand,0.0
X4.1BB,0.0
VEGF,0.0
Myeloperoxidase,0.0
MCP.1,0.0
RGMA,0.0
PKC.B.II,0.0
HSP.90b,0.0
H6ST1,0.0
GRB2.adapter.protein,0.0
Lymphotoxin.b.R,0.0
Layilin,0.0
IL.2.sRg,0.0
IL.12.Rb1,0.0
IL.10.Rb,0.0
C8,0.0
BDNF,0.0
b.NGF,0.0
TRAIL.R2,0.0
bFGF.R,0.0
RUXF,0.0
WNK3,0.0
Testican.2,0.0
Testican.1,0.0
Stress.induced.phosphoprotein.1,0.0
SRCN1,0.0
IGFBP.3,0.0
Factor.I,0.0
b.Endorphin,0.0
OPG,0.0
MIP.3a,0.0
EG.VEGF,0.0
TIMP.1,0.0
HCE003167,0.0
HCE001796,0.0
Myostatin,0.0
BAD,0.0
ARGI1,0.0
aldolase.A,0.0
X14.3.3.protein.zeta.delta,0.0
tau,0.0
IL.9,0.0
GDNF,0.0
GV,0.0
GIIE,0.0
CXCL16..soluble,0.0
Cathepsin.G,0.0
LTBP4,0.0
SEM5A,0.0
Tpo,0.0
TWEAK,0.0
S100A7,0.0
PSME1,0.0
PEX5,0.0
Nucleoside.diphosphate.kinase.A,0.0
HSP70.protein.8,0.0
HINT1,0.0
eIF.5A.1,0.0
eIF.4H,0.0
EF.1.beta,0.0
X14.3.3.protein.beta.alpha,0.0
NRG4,0.0
RXFP1,0.0
FLRT3,0.0
protein.Z.inhibitor,0.0
CHKB,0.0
CD177,0.0
Lumican,0.0
BCL6,0.0
Tropomyosin.4,0.0
Lectin..mannose.binding.2,0.0
